theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
RouteB_BEM,routeB_RT_bem_v8_pair_length_budget_package.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",20,0,1,0,0,38
RouteB_BEM,routeB_RT_bem_v9_correction_normalizer_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,8,0,0,0,7,23
RouteB_BEM,sst_horn_neumann_bem_all_audits.zip,C,True,"absolute observable present (C=16, Q=0)",18,0,16,0,1,0
RouteB_BEM,sst_horn_neumann_bem_package.zip,C,True,"absolute observable present (C=12, Q=0)",9,0,12,0,1,0
Routes_v0819,route_ABCD_results_checked_bundle.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,4,1,4,0,28,26
Routes_v0819,ssdl_research_track_patch_v0_8_19.zip,X,False,uses legacy reference normalization (18 hits) -> gate 1 fails,5,18,162,1,195,200
Routes_v0819,sst_nonfit_prediction_harness_v0.8.19_draft1.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,16,2,27,0,2,35
Routes_v0819,sst_torsion_impedance_pybind11_v0.8.19_autobuild (1).zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,11,2,12,0,0,22
Routes_v0819,sst_torsion_impedance_pybind11_v0.8.19_autobuild.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,11,2,12,0,0,22
Routes_v0819,SST_v0_8_19_Planck_Routes_A_to_D_equivalence_corrected_pack.zip,X,False,uses legacy reference normalization (30 hits) -> gate 1 fails,43,30,783,3,1054,2165
Routes_v0819,SST_v0_8_19_Planck_Routes_A_to_D_evidence_pack.zip,X,False,uses legacy reference normalization (25 hits) -> gate 1 fails,43,25,799,3,1034,2096
Routes_v0819,SST_v0_8_19_Planck_Routes_v3_preregistered_all_inclusive_pack.zip,X,False,uses legacy reference normalization (41 hits) -> gate 1 fails,68,41,995,4,1342,2768
